Selling Price,Transmission,Mileage,Fuel,Road Tax,Efficiency (mpg),Engine Size ,Age of Car
8788,Manual,15612,Petrol,145,65.7,1,3
12251,Manual,8920,Petrol,145,58.9,1,2
16320,Manual,24803,Diesel,145,60.1,2,3
13140,Manual,7,Petrol,145,48.7,1.1,1
10491,Semi-Auto,43019,Petrol,145,48.7,1,2
13870,Semi-Auto,41607,Diesel,145,54.3,2,4
14960,Manual,23554,Petrol,145,41.5,2,3
13540,Manual,6923,Petrol,145,58.9,1,1
17970,Manual,10985,Diesel,145,74.3,1.5,1
9330,Manual,29617,Diesel,20,68.9,1.5,3
6000,Manual,47613,Petrol,0,65.7,1,4
8995,Manual,5122,Petrol,145,43.5,1.2,1
8495,Manual,32,Petrol,145,48.7,1.2,1
6395,Manual,31562,Petrol,125,54.3,1.2,4
14495,Manual,8131,Petrol,145,58.9,1,1
19995,Automatic,24568,Diesel,145,31.7,2,2
18495,Automatic,39605,Diesel,145,54.3,2,3
17995,Manual,11496,Diesel,145,57.6,2,1
5495,Manual,51271,Petrol,30,54.3,1.2,7
16995,Automatic,7189,Diesel,145,58.9,1.5,2
16495,Manual,29428,Diesel,145,54.3,1.5,2
17998,Manual,12162,Petrol,145,39.2,1.5,2
7498,Semi-Auto,33023,Petrol,160,44.1,1.6,6
17498,Manual,2714,Petrol,150,49.6,1,1
17498,Manual,17051,Diesel,150,56.5,2,3
5998,Manual,44304,Diesel,0,76.4,1.5,7
17698,Manual,4844,Petrol,145,34.4,1.5,1
11000,Manual,31810,Diesel,125,60.1,2,4
8700,Manual,43081,Petrol,145,44.8,1.5,3
15300,Manual,47159,Diesel,145,54.3,2,3
7490,Manual,25000,Petrol,0,65.7,1,7
10760,Manual,29891,Petrol,145,60.1,1,3
18760,Manual,10237,Petrol,145,39.2,1.5,1
6360,Manual,48653,Petrol,0,65.7,1,6
6270,Manual,60888,Petrol,0,65.7,1,6
17920,Automatic,15815,Petrol,235,38.2,1.5,3
4790,Manual,74128,Petrol,0,65.7,1,7
7830,Manual,50124,Diesel,0,74.3,1.5,5
6990,Manual,29851,Diesel,0,76.4,1.5,5
18640,Manual,24105,Diesel,160,48.7,2,4
6700,Manual,28935,Petrol,30,54.3,1.2,5
9498,Manual,30925,Petrol,145,65.7,1,2
13698,Manual,13418,Petrol,145,58.9,1,2
13298,Manual,13756,Petrol,145,58.9,1,2
14398,Manual,25175,Diesel,145,54.3,2,5
8998,Manual,21267,Petrol,145,64.2,1.1,3
12698,Manual,12130,Petrol,145,56.5,1,1
11998,Manual,17354,Petrol,145,56.5,1,1
13498,Manual,15822,Petrol,145,58.9,1,1
13498,Manual,10557,Petrol,145,58.9,1,1
9698,Manual,20786,Petrol,20,61.4,1,4
24995,Manual,7997,Petrol,235,36.7,2.3,4
9895,Manual,19079,Petrol,145,65.7,1,3
12995,Manual,14979,Petrol,145,58.9,1,2
9295,Manual,47904,Diesel,125,56.5,1.6,5
8495,Manual,24410,Petrol,125,54.3,1.2,4
13895,Manual,13600,Petrol,145,58.9,1,1
18298,Manual,21456,Diesel,145,67.3,2,2
9198,Manual,31512,Diesel,0,74.3,1.5,5
10798,Manual,11843,Petrol,0,65.7,1,4
8998,Manual,31373,Petrol,0,65.7,1,4
18498,Manual,7796,Diesel,145,54.3,1.5,2
13498,Manual,26597,Diesel,145,54.3,2,3
14998,Manual,15978,Diesel,30,64.2,1.5,3
13998,Automatic,13265,Petrol,240,38.2,1.5,3
9998,Manual,20491,Petrol,125,52.3,1,4
10998,Manual,16310,Petrol,125,50.4,1,3
17698,Manual,14557,Petrol,145,41.5,2,3
11498,Semi-Auto,30917,Petrol,125,51.4,1,3
12798,Manual,22153,Diesel,145,74.3,1.5,3
8698,Manual,31743,Petrol,30,55.4,1,5
19495,Manual,13673,Diesel,145,47.9,2,1
9995,Manual,25776,Petrol,145,65.7,1,2
10995,Manual,30923,Diesel,0,74.3,1.5,4
13998,Manual,24504,Diesel,150,64.2,1.5,3
11998,Manual,6568,Petrol,145,62.8,1,3
8998,Manual,42960,Diesel,30,61.4,1.5,4
16698,Manual,5117,Diesel,145,54.3,1.5,2
8998,Manual,31736,Petrol,125,53.3,1,4
7998,Manual,19212,Petrol,0,65.7,1,5
12495,Manual,12426,Petrol,145,65.7,1,2
7995,Manual,12872,Petrol,145,57.7,1.2,3
21995,Manual,4111,Petrol,145,50.4,1,0
16995,Manual,34690,Diesel,145,60.1,2,2
11995,Manual,32168,Petrol,145,65.7,1,2
19995,Manual,11312,Diesel,145,47.9,2,1
8995,Manual,31559,Petrol,145,65.7,1,3
8295,Manual,23000,Petrol,145,57.7,1.2,3
14698,Manual,6442,Petrol,145,54.3,1,2
10498,Semi-Auto,29590,Petrol,0,57.7,1,4
14495,Manual,17030,Petrol,145,57.7,1,2
8995,Manual,22493,Petrol,20,60.1,1,4
15995,Manual,29600,Diesel,20,67.3,2,4
10995,Semi-Auto,26500,Diesel,125,58.9,2,4
19995,Manual,14000,Diesel,200,44.8,2,3
8295,Manual,34783,Diesel,30,61.4,1.6,7
7995,Manual,56655,Diesel,20,67.3,1.6,5
19995,Manual,16000,Diesel,150,47.9,2,1
9995,Manual,30753,Diesel,0,78.5,1.5,5
13495,Manual,1030,Petrol,145,47.9,1,2
12995,Manual,7817,Petrol,145,55.4,1,3
12995,Manual,9781,Petrol,145,60.1,1,2
12998,Manual,17241,Petrol,145,54.3,1,2
10298,Manual,28309,Diesel,125,58.9,1.6,5
10498,Manual,50599,Petrol,0,65.7,1,3
11298,Semi-Auto,37880,Diesel,150,74.3,1.5,2
10698,Manual,56888,Diesel,125,60.1,2,4
15995,Manual,10500,Petrol,145,60.1,1,2
6995,Semi-Auto,50800,Petrol,160,44.1,1.6,6
13950,Manual,6700,Petrol,145,58.9,1,1
10650,Manual,31800,Petrol,150,65.7,1,3
7995,Manual,20700,Petrol,125,54.3,1.2,4
11495,Manual,29900,Diesel,0,74.3,1.5,4
16995,Manual,32858,Diesel,145,54.3,2,2
11995,Manual,31593,Petrol,145,65.7,1,2
10995,Manual,13791,Petrol,125,51.4,1.5,5
20495,Manual,12034,Diesel,145,47.9,2,1
19995,Manual,10923,Diesel,145,67.3,2,2
19995,Manual,10171,Diesel,145,38.2,2,1
10995,Manual,30923,Diesel,0,74.3,1.5,4
18995,Manual,2291,Petrol,145,52.3,1,1
11995,Manual,23469,Petrol,125,51.4,1.5,3
16998,Manual,13626,Diesel,125,60.1,2,3
7398,Manual,35180,Petrol,125,54.3,1.2,4
11498,Manual,17708,Petrol,145,58.9,1,1
13998,Manual,9957,Petrol,145,58.9,1,1
16698,Manual,4542,Petrol,145,60.1,1,1
9998,Manual,38358,Diesel,0,78.5,1.5,4
12998,Manual,25878,Diesel,20,67.3,2,5
9998,Semi-Auto,18325,Petrol,160,44.8,1.5,4
12498,Manual,9338,Petrol,145,60.1,1,3
14998,Manual,7133,Diesel,145,58.9,1.5,2
10498,Manual,42002,Petrol,20,60.1,1,3
16995,Automatic,3700,Petrol,145,38.2,1.5,3
15495,Manual,5600,Petrol,145,60.1,1,1
9495,Manual,17288,Petrol,0,65.7,1,5
5995,Manual,42996,Diesel,20,70.6,1.6,7
7498,Manual,47566,Petrol,30,56.5,1,6
11798,Manual,4262,Petrol,0,65.7,1,3
10998,Manual,10125,Petrol,145,65.7,1,3
14998,Automatic,17028,Petrol,150,46.3,1.5,3
8998,Manual,12753,Petrol,145,54.3,1.2,3
13998,Manual,24895,Diesel,20,67.3,2,4
17998,Manual,9066,Petrol,145,41.5,2,3
18998,Manual,3292,Petrol,145,40.3,1.5,1
9198,Semi-Auto,48130,Diesel,200,45.6,2,7
14498,Manual,27513,Diesel,145,54.3,2,5
14998,Manual,32511,Petrol,150,41.5,2,3
8498,Manual,21888,Petrol,125,54.3,1.2,4
13995,Manual,11130,Petrol,145,58.9,1,1
18498,Manual,14441,Petrol,145,41.5,2,3
13998,Manual,13401,Petrol,145,60.1,1,2
12798,Manual,10567,Petrol,145,58.9,1,1
14698,Manual,7872,Petrol,145,58.9,1,1
7698,Manual,10641,Petrol,30,57.7,1.2,3
12498,Manual,10222,Petrol,145,54.3,1,2
9998,Manual,28519,Petrol,20,62.8,1,3
13998,Manual,51772,Diesel,125,60.1,2,3
9500,Automatic,7350,Petrol,0,57.7,1,4
8195,Manual,12231,Petrol,145,47.9,1.2,2
21498,Automatic,5354,Petrol,150,31,1.5,1
17998,Manual,19525,Petrol,145,41.5,2,3
14498,Manual,11922,Petrol,145,54.3,1,2
9998,Manual,16984,Diesel,20,68.9,1.5,4
7998,Manual,16070,Petrol,125,54.3,1.2,4
10998,Manual,26648,Petrol,145,61.4,1,2
10998,Manual,19140,Petrol,145,62.8,1,3
9998,Manual,26399,Diesel,0,74.3,1.5,4
5498,Manual,53545,Petrol,30,54.3,1.2,7
9298,Manual,25491,Petrol,0,65.7,1,3
7298,Manual,31359,Petrol,0,65.7,1,6
8498,Manual,51656,Diesel,0,74.3,1.5,4
17698,Semi-Auto,11221,Diesel,145,54.3,2,4
14498,Manual,23356,Diesel,145,60.1,2,3
12898,Manual,15267,Petrol,145,53.3,1,2
7998,Manual,41294,Diesel,0,74.4,1.5,3
12198,Manual,7993,Petrol,145,49.6,1,2
9698,Manual,30207,Petrol,145,53.3,1,3
8798,Manual,19815,Petrol,0,65.7,1,4
14298,Manual,43717,Diesel,145,54.3,2,5
15798,Manual,4534,Petrol,145,58.9,1,2
10298,Manual,9148,Petrol,145,65.7,1,3
4898,Manual,22609,Petrol,30,57.7,1.2,6
10298,Manual,15510,Diesel,0,74.3,1.5,4
9998,Manual,20347,Petrol,0,65.7,1,3
16698,Manual,3044,Petrol,145,39.2,1.5,2
8998,Manual,5233,Petrol,125,54.3,1.2,3
8998,Manual,28359,Diesel,125,60.1,1.6,5
12498,Semi-Auto,12244,Petrol,125,51.4,1,3
12498,Manual,17918,Petrol,145,65.7,1,2
34498,Semi-Auto,4623,Diesel,145,43.5,2,0
9298,Manual,16770,Petrol,145,44.8,1.5,3
10900,Manual,25459,Petrol,145,60.1,1,3
9998,Manual,23913,Petrol,125,53.3,1,3
12998,Manual,9901,Petrol,150,65.7,1,2
10998,Semi-Auto,15006,Petrol,125,51.4,1,4
15500,Manual,19593,Petrol,145,41.5,2,3
16200,Semi-Auto,23027,Diesel,145,58.9,1.5,3
10500,Semi-Auto,13580,Diesel,20,64.2,1.5,4
13200,Manual,32000,Diesel,20,67.3,2,5
18698,Manual,15365,Petrol,145,60.1,1,1
16998,Manual,7924,Diesel,145,80.7,1.5,1
9998,Manual,10721,Petrol,145,65.7,1,3
9498,Manual,25939,Petrol,145,53.3,1,3
17498,Manual,3265,Petrol,145,58.9,1,1
15998,Automatic,11045,Petrol,145,41.5,1,1
17998,Manual,250,Petrol,145,51.4,1,0
5698,Manual,44901,Petrol,145,47.1,1.4,7
9998,Manual,22001,Petrol,20,60.1,1,3
17298,Manual,4563,Petrol,145,54.3,1,0
16998,Manual,12236,Petrol,145,55.4,1,1
23998,Manual,7584,Diesel,145,39.2,2,1
6498,Manual,41599,Petrol,0,65.7,1,7
12498,Manual,10373,Petrol,145,54.3,1,3
4998,Manual,79300,Petrol,0,65.7,1,7
11498,Manual,12982,Petrol,30,55.4,1,3
11298,Manual,24386,Diesel,0,74.3,1.5,3
9298,Manual,18209,Diesel,30,64.2,1.5,3
12998,Manual,9796,Petrol,145,54.3,1,2
14498,Manual,9428,Petrol,145,62.8,1,2
18498,Manual,30528,Diesel,125,56.5,2,4
8498,Manual,41772,Petrol,30,55.4,1,4
8298,Manual,15673,Petrol,0,65.7,1,5
8498,Manual,47219,Diesel,0,74.3,1.5,5
12998,Manual,16081,Petrol,150,57.7,1,2
16998,Manual,10476,Petrol,145,60.1,1,1
9998,Manual,16647,Petrol,0,65.7,1,4
13698,Manual,41457,Diesel,150,54.3,2,3
13998,Semi-Auto,4735,Petrol,125,51.4,1,3
9498,Manual,24045,Petrol,125,53.3,1,4
15984,Manual,6500,Petrol,145,51.4,1,1
8489,Manual,60190,Petrol,160,44.8,1.5,3
9995,Manual,27000,Diesel,0,78.5,1.5,3
8498,Manual,32538,Petrol,0,65.7,1,3
13498,Manual,36345,Diesel,150,54.3,2,4
8998,Manual,43623,Petrol,20,61.4,1,4
9998,Semi-Auto,58500,Diesel,200,45.6,2,7
17498,Manual,15729,Diesel,145,54.3,2,3
9998,Manual,7892,Petrol,145,65.7,1,2
11990,Manual,24725,Petrol,145,47.9,1.6,3
16899,Manual,7000,Diesel,145,80.7,1.5,1
15984,Manual,3500,Petrol,145,51.4,1,1
15984,Manual,4500,Petrol,145,51.4,1,1
15984,Manual,4000,Petrol,145,51.4,1,1
13998,Manual,4889,Diesel,145,68.9,1.5,1
17994,Manual,20633,Diesel,150,54.3,2,3
17489,Semi-Auto,47937,Diesel,165,51.4,2,4
19899,Semi-Auto,28500,Diesel,145,54.3,2,2
4699,Manual,85000,Petrol,30,54.3,1.2,6
9949,Manual,23000,Petrol,125,53.3,1,3
11498,Manual,9995,Petrol,145,55.4,1,3
10898,Manual,12626,Petrol,30,55.4,1,3
12998,Manual,7320,Petrol,145,55.4,1,2
13498,Manual,23394,Petrol,145,48.7,1,1
9998,Manual,12932,Diesel,20,68.9,1.5,3
18998,Automatic,22246,Diesel,150,64.2,2,1
11798,Manual,5530,Petrol,150,48.7,1.1,1
11798,Manual,4590,Petrol,150,48.7,1.1,1
8498,Manual,28479,Petrol,0,65.7,1,3
8998,Manual,67895,Diesel,200,47.9,2,7
14799,Manual,6249,Petrol,145,60.1,1,1
14799,Manual,8560,Petrol,145,60.1,1,1
42489,Automatic,3500,Petrol,145,22.1,5,0
17498,Manual,9940,Petrol,145,45.6,1.5,3
16498,Manual,4930,Petrol,145,60.1,1,1
19698,Manual,12011,Petrol,145,41.5,2,2
8498,Manual,23053,Petrol,125,54.3,1.2,4
16998,Manual,17589,Petrol,200,41.5,2,4
14998,Manual,7000,Petrol,145,58.9,1,1
19999,Manual,3500,Diesel,145,61.4,1.5,1
20999,Automatic,5500,Diesel,145,47.9,2,1
14998,Manual,7000,Petrol,145,60.1,1,1
14998,Manual,7000,Petrol,145,58.9,1,1
13998,Manual,5000,Diesel,145,68.9,1.5,1
13898,Manual,33026,Diesel,145,60.1,2,3
11498,Manual,8560,Petrol,0,65.7,1,4
19698,Manual,16548,Petrol,145,41.5,2,2
10498,Manual,49485,Diesel,0,74.3,1.5,3
17498,Semi-Auto,14569,Diesel,145,53.3,2,3
12498,Manual,60151,Diesel,145,54.3,2,5
11498,Manual,9148,Petrol,145,61.4,1,3
10998,Manual,13548,Petrol,0,65.7,1,3
22998,Automatic,7337,Others,140,47.1,2,1
8498,Manual,6649,Petrol,125,54.3,1.2,5
11998,Manual,7690,Petrol,150,60.1,1,3
11898,Manual,3396,Petrol,150,48.7,1.1,1
11498,Manual,15766,Petrol,145,58.9,1,1
13298,Manual,7349,Petrol,145,58.9,1,1
9698,Manual,36860,Diesel,20,68.9,1.5,4
10498,Manual,59498,Diesel,145,68.9,1.5,2
10998,Manual,17367,Diesel,125,60.1,2,5
9598,Manual,14403,Petrol,145,64.2,1.1,3
16998,Manual,20647,Petrol,145,60.1,1,1
13498,Manual,13351,Petrol,145,58.9,1,1
6998,Manual,34804,Petrol,125,54.3,1.2,4
15498,Manual,38113,Diesel,125,60.1,2,3
9949,Manual,27399,Petrol,145,64.2,1.1,2
12998,Manual,2455,Diesel,145,68.9,1.5,2
20799,Automatic,52000,Diesel,200,47.9,2,4
38489,Automatic,3500,Petrol,145,30.7,2.3,0
9489,Manual,35417,Petrol,145,64.2,1.1,2
13949,Semi-Auto,11982,Petrol,145,48.7,1,1
10990,Manual,28138,Petrol,145,56.5,1,2
13489,Manual,34805,Diesel,145,54.3,2,3
7994,Manual,64612,Diesel,20,67.3,1.6,5
11489,Manual,19665,Petrol,145,60.1,1,2
15699,Manual,17500,Diesel,150,64.2,1.5,2
19998,Manual,4000,Diesel,145,74.3,1.5,0
19489,Manual,5000,Diesel,145,74.3,1.5,0
14998,Manual,7000,Petrol,145,58.9,1,1
9199,Manual,26445,Diesel,30,64.2,1.5,4
10489,Manual,26445,Diesel,20,68.9,1.5,3
11489,Manual,2922,Diesel,145,64.2,1.5,2
29998,Automatic,3000,Petrol,145,28.8,2.3,2
31498,Automatic,6250,Petrol,145,23.5,5,2
11999,Manual,6691,Petrol,145,61.4,1,2
15990,Automatic,9486,Diesel,145,56.6,1.5,2
16998,Automatic,8703,Petrol,145,40.9,1.5,1
15489,Manual,5636,Diesel,145,68.9,1.5,1
22489,Manual,8224,Diesel,145,56.5,2,1
22489,Manual,4000,Diesel,145,56.5,2,1
5998,Manual,55898,Diesel,0,78.5,1.5,5
10998,Manual,28001,Petrol,145,60.1,1,3
11498,Manual,36052,Diesel,160,47.9,2,6
24999,Semi-Auto,42086,Petrol,570,23.5,5,4
15298,Manual,34673,Diesel,125,60.1,2,3
19498,Manual,22068,Diesel,145,48.7,2,2
16998,Manual,19936,Petrol,145,60.1,1,1
13998,Manual,4856,Diesel,145,61.4,1.5,3
11298,Semi-Auto,1397,Petrol,165,44.1,1.6,3
13398,Automatic,21649,Petrol,145,46.3,1.5,3
17798,Manual,10345,Petrol,145,41.5,2,3
14998,Manual,14960,Diesel,145,64.2,1.5,2
13998,Manual,35689,Petrol,205,41.5,2,5
9189,Manual,31998,Petrol,145,44.8,1.5,3
10399,Manual,7200,Petrol,145,65.7,1,2
23899,Automatic,27146,Diesel,145,47.9,2,3
5330,Manual,66937,Petrol,30,54.3,1.2,7
15985,Manual,5099,Petrol,145,51.4,1,1
7485,Manual,11092,Petrol,125,54.3,1.2,5
21999,Automatic,6000,Petrol,145,29.1,1.5,1
10850,Manual,23634,Petrol,150,65.7,1,3
23250,Semi-Auto,9931,Diesel,145,38.7,2,1
7999,Manual,22633,Petrol,0,65.7,1,4
7999,Manual,9355,Petrol,145,57.7,1.2,2
7999,Manual,78170,Diesel,200,47.9,2,7
9699,Manual,13480,Petrol,20,60.1,1,4
39998,Automatic,5000,Petrol,145,22.6,5,1
8500,Manual,15060,Petrol,125,54.3,1.2,3
9998,Manual,18912,Petrol,0,65.7,1,4
15995,Manual,6992,Petrol,145,60.1,1,1
11495,Manual,17766,Petrol,145,65.7,1,3
14698,Manual,8725,Petrol,145,58.9,1,1
9998,Manual,6820,Petrol,0,65.7,1,4
9498,Manual,29326,Diesel,200,47.9,2,7
10698,Semi-Auto,11235,Petrol,0,57.7,1,3
13499,Manual,38687,Diesel,145,54.3,2,4
15999,Manual,15005,Diesel,145,54.3,2,3
17299,Manual,14224,Diesel,145,54.3,2,3
14198,Manual,20205,Petrol,150,58.9,1,1
10898,Manual,13093,Petrol,125,52.3,1,4
17298,Semi-Auto,1434,Petrol,150,48.7,1,1
5998,Semi-Auto,44582,Petrol,165,44.1,1.6,7
9998,Manual,55621,Diesel,30,64.2,2,5
6998,Manual,21203,Petrol,30,57.7,1.2,3
16698,Manual,24498,Diesel,145,67.3,2,3
17298,Manual,3124,Petrol,145,60.1,1,2
15498,Manual,31073,Diesel,125,60.1,2,3
14298,Manual,6345,Diesel,145,54.3,2,3
9998,Manual,26138,Diesel,20,68.9,1.5,4
22998,Manual,593,Diesel,145,47.9,2,1
11598,Manual,11654,Petrol,145,61.4,1,2
10498,Manual,17532,Petrol,145,65.7,1,2
8698,Manual,36124,Petrol,160,44.8,1.5,3
17498,Manual,13558,Petrol,200,41.5,2,3
12499,Manual,13000,Diesel,145,67.3,1.5,2
9250,Manual,7812,Petrol,145,47.9,1.2,2
16250,Manual,28113,Diesel,145,67.3,2,3
9999,Manual,24130,Petrol,150,52.3,1,3
10999,Manual,23973,Petrol,150,60.1,1,3
18494,Manual,11858,Diesel,145,38.2,2,1
13489,Semi-Auto,26799,Petrol,145,48.7,1,1
6995,Manual,35084,Petrol,0,65.7,1,6
11995,Manual,12080,Petrol,150,65.7,1,2
10498,Manual,9621,Petrol,145,65.7,1,3
11300,Manual,13300,Petrol,145,60.1,1,3
11800,Manual,14024,Petrol,145,62.8,1,2
10800,Manual,17668,Petrol,145,60.1,1,3
8300,Manual,43121,Petrol,0,65.7,1,4
18499,Manual,14682,Petrol,145,41.5,2,2
6800,Manual,53500,Petrol,30,56.5,1,6
17000,Manual,15513,Petrol,145,45.6,1.5,2
8998,Manual,16701,Diesel,0,78.5,1.5,3
5698,Manual,51892,Petrol,30,54.3,1.2,6
8998,Manual,20648,Petrol,160,44.8,1.5,3
14998,Manual,38206,Diesel,145,54.3,2,4
18500,Manual,13692,Diesel,145,54.3,2,3
19298,Manual,12287,Petrol,145,39.2,1.5,1
10798,Manual,49989,Diesel,160,47.9,2,6
15998,Manual,12699,Petrol,145,60.1,1,1
7298,Manual,36700,Petrol,0,65.7,1,5
10298,Manual,25013,Petrol,150,53.3,1,3
10698,Manual,16505,Petrol,0,65.7,1,3
13998,Manual,5887,Petrol,145,58.9,1,1
8298,Manual,63508,Diesel,145,53.3,2,7
8998,Manual,36087,Diesel,0,74.3,1.5,4
11298,Manual,11117,Petrol,30,55.4,1,4
10498,Manual,17197,Diesel,30,64.2,1.5,4
8995,Manual,54000,Diesel,145,53.3,2,7
7895,Manual,27541,Petrol,0,65.7,1,5
18390,Manual,14682,Petrol,145,41.5,2,2
7795,Manual,9662,Petrol,145,57.7,1.2,2
10795,Manual,22727,Petrol,20,60.1,1,3
18298,Automatic,6269,Diesel,145,74.3,1.5,1
7698,Manual,9708,Diesel,20,70.6,1.6,5
17698,Manual,18075,Diesel,145,54.3,2,3
16998,Manual,24885,Diesel,145,54.3,2,3
12698,Manual,3074,Petrol,145,55.4,1,2
10698,Manual,22141,Diesel,0,78.5,1.5,4
9998,Semi-Auto,43938,Diesel,205,45.6,2,7
14498,Manual,6038,Diesel,150,54.3,2,3
8998,Manual,20277,Petrol,0,65.7,1,3
11998,Manual,15297,Diesel,20,68.9,1.5,3
14000,Manual,11426,Petrol,150,58.9,1,1
16250,Manual,2951,Petrol,150,52.3,1,1
9700,Manual,28186,Petrol,0,65.7,1,3
9998,Manual,38629,Petrol,200,42.8,1.6,7
10998,Manual,14161,Diesel,30,64.2,1.5,3
15498,Manual,27716,Diesel,125,56.5,2,4
5489,Manual,41144,Diesel,20,68.9,1.5,7
18999,Manual,9695,Diesel,145,54.3,1.5,1
8449,Manual,79125,Petrol,145,47.9,1.6,4
8699,Manual,46040,Diesel,30,61.4,1.6,4
10489,Manual,37972,Diesel,20,68.9,1.5,3
12489,Manual,36394,Diesel,145,64.2,1.5,3
13698,Manual,78636,Diesel,145,64.2,1.5,3
18498,Manual,21167,Diesel,145,67.3,2,2
7298,Manual,36140,Diesel,0,74.4,1.5,5
9998,Manual,13861,Petrol,145,60.1,1,3
17498,Manual,22439,Diesel,145,54.3,2,3
18999,Manual,42500,Diesel,125,51.4,2,3
9489,Manual,29500,Petrol,145,52.3,1,3
20994,Automatic,41000,Diesel,145,48.7,2,3
11998,Manual,6484,Diesel,145,68.9,1.5,2
6250,Manual,39223,Petrol,30,54.3,1.2,6
5950,Manual,64327,Diesel,0,76.4,1.5,6
10900,Manual,13338,Diesel,0,74.3,1.5,3
11200,Manual,15121,Petrol,20,58.9,1,3
9250,Manual,38541,Petrol,20,60.1,1,3
10300,Manual,9542,Petrol,145,65.7,1,2
13000,Manual,3629,Petrol,145,49.6,1,1
7000,Manual,82616,Diesel,0,74.3,1.5,4
9200,Manual,21261,Petrol,0,65.7,1,5
24995,Manual,10023,Diesel,150,54.3,2,1
8298,Manual,22919,Petrol,0,65.7,1,4
9298,Manual,41697,Diesel,20,68.9,1.5,3
16698,Manual,18697,Petrol,145,60.1,1,1
23698,Manual,5003,Diesel,145,70.6,2,1
20398,Manual,6233,Diesel,145,74.3,1.5,1
9698,Manual,19884,Petrol,0,65.7,1,4
17998,Manual,13734,Petrol,145,39.2,1.5,2
13698,Manual,12232,Petrol,145,58.9,1,1
9998,Manual,21243,Petrol,20,60.1,1,4
7298,Manual,31107,Petrol,125,54.3,1.2,4
5698,Manual,64292,Diesel,20,67.3,1.6,7
8998,Manual,68055,Diesel,150,53.3,2,6
12998,Manual,23200,Petrol,150,65.7,1,2
12498,Manual,25800,Diesel,30,64.2,2,4
20990,Manual,5100,Diesel,145,31.7,2,1
29999,Manual,100,Diesel,145,30.1,2,1
15489,Manual,5636,Diesel,145,68.9,1.5,1
15998,Manual,4500,Diesel,145,80.7,1.5,1
19999,Manual,3500,Diesel,145,61.4,1.5,1
8489,Manual,61379,Diesel,0,74.3,1.5,4
9490,Manual,3012,Petrol,145,55.4,1.1,2
12490,Manual,11292,Petrol,125,51.4,1.5,3
6490,Manual,19285,Petrol,150,57.7,1.2,3
14790,Manual,33352,Petrol,205,41.5,2,4
12498,Manual,17998,Diesel,0,74.3,1.5,3
18998,Manual,11578,Diesel,150,67.3,2,2
9598,Manual,29577,Diesel,20,67.3,1.6,5
10498,Manual,27704,Diesel,145,74.3,1.5,3
7998,Manual,19001,Petrol,125,54.3,1.2,5
9998,Manual,39460,Diesel,30,64.2,1.5,4
16250,Manual,13325,Diesel,145,74.3,1.5,1
18450,Automatic,14464,Diesel,145,54.3,1.5,1
9950,Manual,19223,Petrol,145,61.4,1,2
9950,Manual,906,Petrol,145,43.5,1.2,1
9950,Manual,2520,Petrol,145,43.5,1.2,1
9950,Manual,1196,Petrol,145,43.5,1.2,1
8498,Manual,19429,Petrol,0,65.7,1,5
5998,Manual,69078,Petrol,30,57.7,1,6
9998,Manual,37560,Petrol,145,53.3,1,3
9998,Manual,3155,Petrol,20,61.4,1,4
