Selling Price,Mileage,Fuel,Seller,Transmission,Owner Type,Number of Seats,Age of Car,Efficiency,Engine Capacity
525000,63000,Diesel,Dealer,Manual,First Owner,5,5,27.3,1498
1650000,127700,Diesel,Dealer,Automatic,Used,7,4,11.36,2755
950000,99000,Diesel,Dealer,Manual,First Owner,7,4,12.99,2494
1750000,33900,Diesel,Dealer,Automatic,Used,5,7,17.68,1968
1590000,25000,Petrol,Dealer,Automatic,First Owner,5,2,14.28,1798
1689999,50000,Diesel,Dealer,Automatic,First Owner,5,7,18.53,1968
1425000,59000,Diesel,Dealer,Automatic,First Owner,5,7,14.84,2143
265000,120000,Diesel,Individual,Manual,First Owner,5,9,21.12,1248
190000,110000,Petrol,Individual,Manual,Used,5,9,20.36,1197
425000,60000,Diesel,Individual,Manual,First Owner,5,7,21.27,1396
630000,147000,Diesel,Individual,Manual,Used,5,5,26.59,1248
600000,25000,Petrol,Individual,Manual,Used,5,3,18.16,1196
650000,30000,Petrol,Individual,Manual,First Owner,5,1,21.4,1197
540000,40000,Diesel,Individual,Manual,First Owner,5,4,22.0,1498
630000,135000,Diesel,Individual,Manual,First Owner,5,5,25.1,1498
448000,30000,Petrol,Individual,Automatic,First Owner,5,2,20.51,998
500000,80000,Diesel,Individual,Manual,First Owner,5,3,21.66,1498
745000,70000,Diesel,Individual,Manual,First Owner,5,4,24.3,1248
1025000,9850,Diesel,Individual,Automatic,First Owner,5,1,24.3,1248
235000,60000,Petrol,Individual,Manual,Used,5,9,20.36,1197
630000,70000,Diesel,Individual,Manual,First Owner,5,4,25.2,1248
1700000,78000,Diesel,Individual,Manual,Used,7,5,12.55,2982
450000,120000,Diesel,Individual,Manual,Used,5,7,22.9,1248
450000,120000,Petrol,Individual,Manual,Used,7,8,16.02,1373
50000,70000,Diesel,Individual,Manual,First Owner,5,17,19.33,1248
450000,170000,Diesel,Individual,Manual,First Owner,5,7,20.54,1598
1200000,140000,Diesel,Individual,Manual,First Owner,8,4,12.99,2494
610000,90000,Diesel,Individual,Manual,First Owner,5,5,22.77,1498
2500000,30000,Petrol,Individual,Automatic,Used,5,4,15.71,1998
484999,10000,Petrol,Dealer,Manual,First Owner,5,3,23.1,998
275000,49000,Petrol,Dealer,Manual,First Owner,5,4,19.02,1198
315000,32000,Petrol,Dealer,Manual,First Owner,5,4,24.7,796
275000,38000,Petrol,Dealer,Manual,First Owner,5,4,24.7,796
475000,78000,Diesel,Dealer,Manual,First Owner,5,5,19.33,1248
290000,28000,Petrol,Dealer,Manual,First Owner,5,8,19.81,1086
280000,32000,Petrol,Dealer,Manual,First Owner,5,3,14.0,796
225000,44000,LPG/CNG,Dealer,Manual,First Owner,5,10,26.2,998
455000,42000,Petrol,Dealer,Manual,First Owner,5,5,16.47,1198
351000,45000,Petrol,Dealer,Manual,Used,5,5,19.81,1086
535000,12000,Petrol,Dealer,Manual,Used,5,8,15.04,1598
175000,55500,Petrol,Dealer,Manual,First Owner,5,11,18.2,998
525000,61500,Petrol,Dealer,Manual,First Owner,5,7,18.5,1197
600000,150000,Diesel,Individual,Manual,First Owner,5,4,26.59,1248
565000,72000,Petrol,Dealer,Automatic,First Owner,5,4,19.1,1197
120000,68000,Petrol,Dealer,Manual,Used,5,12,19.7,796
725000,110000,Diesel,Individual,Manual,First Owner,5,3,22.54,1396
185000,77000,Petrol,Dealer,Manual,Used,5,11,21.79,998
200000,100000,Diesel,Individual,Manual,Used,5,10,18.8,1248
615000,10000,Petrol,Individual,Manual,First Owner,5,1,21.21,1197
270000,100000,Petrol,Individual,Manual,Used,7,4,15.37,1196
610000,35000,Petrol,Individual,Manual,First Owner,5,2,21.4,1197
625000,70000,Diesel,Individual,Automatic,Used,8,6,11.79,2179
400000,5000,Petrol,Individual,Manual,Used,5,0,19.0,1194
866000,37800,Petrol,Individual,Manual,First Owner,5,3,17.0,1591
700000,114000,Petrol,Individual,Manual,First Owner,5,10,14.3,1798
300000,48000,Petrol,Individual,Manual,First Owner,5,10,15.8,1172
1700000,32000,Diesel,Individual,Manual,First Owner,7,1,15.1,2179
375000,100000,Diesel,Individual,Manual,First Owner,5,4,19.09,1405
522000,150000,Diesel,Individual,Manual,Used,5,7,22.32,1582
451999,69000,Diesel,Individual,Manual,First Owner,5,7,21.9,1396
300000,100000,Petrol,Individual,Manual,Used,5,11,14.53,1798
475000,13000,Petrol,Individual,Manual,First Owner,5,0,21.63,998
780000,60000,Diesel,Individual,Manual,First Owner,5,4,24.3,1248
595000,40000,Petrol,Individual,Manual,First Owner,5,3,20.85,1197
440000,35000,Petrol,Individual,Manual,First Owner,5,3,20.51,998
300000,120000,Diesel,Individual,Manual,Used,5,10,25.200000000000014,1248
400000,70000,Diesel,Individual,Manual,Used,5,6,20.45,1461
1140000,50000,Diesel,Individual,Manual,First Owner,5,4,19.67,1582
850000,76139,Diesel,Individual,Manual,First Owner,5,3,23.0,1498
370000,175000,Diesel,Individual,Manual,Used,5,8,19.3,1248
350000,25000,Petrol,Individual,Manual,First Owner,5,2,23.01,999
360000,40000,Petrol,Individual,Manual,Used,5,5,23.1,998
105000,65000,Petrol,Individual,Manual,Used,5,12,19.7,796
625000,90000,Diesel,Individual,Manual,Used,7,7,20.77,1248
135000,80000,Petrol,Individual,Manual,Used,5,11,17.92,1086
700000,110000,Diesel,Individual,Manual,Used,7,5,20.77,1248
690000,1303,Petrol,Dealer,Manual,First Owner,5,1,17.8,1198
3975000,31800,Diesel,Dealer,Automatic,First Owner,5,2,17.01,1968
5150000,20000,Petrol,Dealer,Automatic,First Owner,5,1,22.37,2487
3200000,45000,Diesel,Dealer,Automatic,First Owner,5,3,19.33,1999
4100000,17000,Petrol,Individual,Automatic,First Owner,5,3,9.5,3604
4500000,21000,Diesel,Dealer,Automatic,First Owner,7,1,12.83,1999
6000000,37000,Diesel,Dealer,Automatic,First Owner,5,3,13.5,2987
3790000,29500,Diesel,Dealer,Automatic,First Owner,5,2,22.48,1995
2150000,27000,Diesel,Dealer,Automatic,First Owner,5,3,19.33,1248
5800000,7500,Diesel,Dealer,Automatic,First Owner,5,1,16.78,1995
1864999,50000,Petrol,Dealer,Automatic,First Owner,5,2,14.67,1798
2700000,35000,Diesel,Dealer,Automatic,First Owner,5,4,15.0,2143
1750000,19000,Petrol,Dealer,Automatic,First Owner,5,1,13.96,1451
795000,41000,Petrol,Dealer,Automatic,First Owner,5,3,18.0,1497
625000,39000,Petrol,Dealer,Automatic,First Owner,5,7,14.28,1798
3400000,22000,Diesel,Dealer,Automatic,First Owner,5,2,18.0,1969
2650000,53000,Diesel,Dealer,Automatic,First Owner,7,5,12.07,2967
535000,40000,Diesel,Dealer,Manual,First Owner,5,5,26.21,1248
5850000,47000,Diesel,Dealer,Automatic,First Owner,5,3,13.5,2987
975000,72200,Petrol,Dealer,Automatic,Used,5,10,10.8,2497
805000,49900,Petrol,Dealer,Manual,First Owner,5,4,16.3,1797
2625000,9000,Diesel,Dealer,Automatic,First Owner,5,3,13.6,1999
811000,11000,Petrol,Dealer,Manual,First Owner,5,2,17.0,1198
375000,49000,Petrol,Individual,Manual,First Owner,5,9,15.04,1598
550000,95000,Petrol,Individual,Manual,First Owner,5,8,16.3,1797
645000,11000,Petrol,Dealer,Automatic,First Owner,5,4,14.3,1598
2550000,18000,Petrol,Dealer,Automatic,First Owner,5,2,15.04,1991
599000,46100,Petrol,Dealer,Manual,First Owner,7,6,16.02,1373
2700000,16000,Petrol,Dealer,Automatic,First Owner,5,3,14.74,1991
875000,18000,Petrol,Dealer,Automatic,First Owner,5,3,15.6,1497
894999,9654,Petrol,Dealer,Automatic,First Owner,5,1,19.56,1197
175000,11000,Petrol,Dealer,Manual,First Owner,5,9,23.95,998
340000,24300,Petrol,Dealer,Manual,First Owner,5,8,21.21,1197
1525000,42163,Diesel,Dealer,Automatic,Used,7,4,11.36,2755
1025000,8000,Diesel,Dealer,Automatic,First Owner,5,2,21.5,1497
2150000,30000,Diesel,Dealer,Automatic,First Owner,5,4,22.69,1995
1900000,41000,Petrol,Dealer,Automatic,First Owner,5,4,19.16,2494
2900000,12000,Diesel,Dealer,Automatic,First Owner,5,4,18.12,1995
450000,71000,Petrol,Dealer,Automatic,First Owner,5,11,12.1,2362
850000,20000,Petrol,Individual,Manual,First Owner,7,4,17.5,1373
10000000,30000,Petrol,Individual,Automatic,First Owner,4,3,42.0,1969
300000,100000,Diesel,Individual,Manual,Used,5,9,20.54,1598
575000,9500,Petrol,Individual,Manual,First Owner,5,2,18.16,1196
160000,120000,Diesel,Individual,Manual,First Owner,5,9,20.0,1399
515000,36600,Petrol,Individual,Manual,First Owner,5,5,20.4,1197
390000,50000,Petrol,Individual,Automatic,Used,5,5,20.51,998
550000,14000,Petrol,Individual,Manual,Used,5,4,18.6,1197
40000,40000,Petrol,Individual,Manual,Used,4,21,16.1,796
220000,120000,Diesel,Individual,Manual,First Owner,5,10,21.1,1248
425000,70000,Petrol,Individual,Manual,First Owner,5,5,18.9,1197
480000,13000,Petrol,Individual,Manual,First Owner,5,1,19.44,999
400000,60000,Petrol,Individual,Manual,Used,5,6,18.9,1197
487000,35000,Petrol,Individual,Manual,First Owner,5,6,19.1,1197
386000,44000,Petrol,Individual,Manual,Used,5,4,19.1,1197
100000,120000,Petrol,Individual,Manual,Used,5,15,13.0,1493
300000,60000,Diesel,Individual,Manual,First Owner,5,10,21.43,1364
100000,60000,Petrol,Individual,Manual,First Owner,5,20,18.5,796
1750000,30000,Diesel,Individual,Manual,Used,7,6,13.0,2982
450000,15000,Petrol,Individual,Manual,Used,6,4,18.15,1198
490000,90000,Diesel,Individual,Manual,First Owner,5,3,22.95,1248
345000,47000,Petrol,Individual,Manual,Used,5,11,17.0,1497
85000,90000,Petrol,Individual,Manual,First Owner,5,15,17.3,993
215000,120600,Petrol,Individual,Manual,Used,5,10,18.9,998
320000,100000,Petrol,Individual,Manual,Used,5,10,16.2,1599
459999,60000,Petrol,Individual,Manual,Used,5,4,20.85,1197
65000,86000,Petrol,Individual,Manual,First Owner,5,15,15.3,1341
720000,5000,Petrol,Individual,Manual,First Owner,5,0,18.6,1197
800000,37000,Diesel,Individual,Manual,First Owner,5,3,28.09,1248
520000,14000,Petrol,Individual,Manual,First Owner,5,1,20.3,1199
580000,70000,Diesel,Individual,Manual,First Owner,7,5,20.77,1248
235000,120000,Diesel,Individual,Manual,First Owner,5,8,23.59,1364
600000,50000,Petrol,Individual,Manual,First Owner,5,5,17.4,1497
290000,60000,Petrol,Individual,Manual,Used,5,6,19.4,1198
360000,50000,LPG/CNG,Individual,Manual,First Owner,5,4,26.6,998
550000,50000,Petrol,Individual,Manual,First Owner,5,3,20.85,1197
375000,70000,Petrol,Individual,Manual,First Owner,5,7,18.5,1197
40000,90000,Petrol,Individual,Manual,Used,5,17,16.8,796
420000,35000,Petrol,Individual,Automatic,First Owner,5,2,20.51,998
550000,20000,Petrol,Individual,Manual,First Owner,5,3,21.21,1197
270000,20000,Petrol,Individual,Manual,First Owner,5,2,24.7,796
700000,7800,Petrol,Individual,Automatic,First Owner,5,2,22.0,1197
500000,20000,Petrol,Individual,Manual,First Owner,5,3,20.4,1197
1250000,15000,Diesel,Individual,Manual,First Owner,7,1,17.6,2179
320000,31377,Petrol,Individual,Manual,Used,5,7,18.5,1197
700000,50000,Diesel,Individual,Manual,First Owner,5,2,28.4,1248
290000,60000,Petrol,Individual,Manual,First Owner,5,5,20.51,998
550000,100000,Petrol,Individual,Automatic,First Owner,5,8,14.53,1794
265000,60000,Petrol,Individual,Manual,First Owner,5,8,19.4,1198
830000,5000,Petrol,Individual,Automatic,First Owner,5,2,21.4,1197
800000,60000,Diesel,Individual,Manual,First Owner,7,3,14.1,2179
160000,25000,Petrol,Individual,Manual,Used,5,9,19.7,796
335000,30000,Petrol,Individual,Manual,First Owner,5,2,25.17,799
329000,80000,Petrol,Individual,Manual,Used,5,3,20.63,1198
775000,75000,Diesel,Individual,Manual,First Owner,5,3,24.3,1248
524000,32000,Petrol,Individual,Manual,First Owner,5,0,20.14,1197
245000,40000,Petrol,Individual,Manual,First Owner,5,5,22.74,796
275000,93000,Petrol,Individual,Manual,Used,5,8,17.0,1197
520000,60000,Petrol,Individual,Manual,First Owner,5,2,17.57,1193
130000,120000,Petrol,Individual,Manual,Used,5,12,19.33,1248
550000,37000,Petrol,Individual,Manual,First Owner,5,6,16.95,1498
910000,15000,Petrol,Individual,Manual,First Owner,5,2,17.0,1497
300000,80000,Petrol,Individual,Manual,First Owner,5,5,19.49,1198
350000,140000,Petrol,Individual,Manual,First Owner,5,4,20.51,998
900000,70000,Diesel,Individual,Manual,First Owner,7,7,12.83,2696
300000,120000,Diesel,Individual,Manual,Used,7,7,17.21,1493
250000,110000,Diesel,Individual,Manual,Used,5,10,21.1,1248
1100000,37000,Diesel,Individual,Manual,First Owner,5,3,19.67,1582
270000,44000,Petrol,Individual,Manual,First Owner,5,4,25.17,799
640000,80000,Diesel,Individual,Manual,First Owner,7,5,20.77,1248
650000,125000,Diesel,Individual,Manual,First Owner,7,5,15.1,2179
409999,13500,Petrol,Individual,Manual,First Owner,5,3,15.37,1196
165000,75000,Petrol,Individual,Manual,First Owner,5,9,17.92,1086
80000,120000,Petrol,Individual,Manual,Used,5,13,13.2,1495
535000,120000,Diesel,Individual,Manual,First Owner,7,8,15.1,2179
700000,70000,Diesel,Individual,Manual,First Owner,7,7,12.99,2494
550000,70000,Diesel,Individual,Manual,First Owner,5,7,23.4,1248
680000,15000,Petrol,Individual,Automatic,First Owner,5,1,19.0,1199
200000,53000,Petrol,Individual,Manual,Used,5,11,20.36,1197
500000,120000,Diesel,Individual,Manual,Used,5,6,23.4,1248
1000000,70000,Diesel,Individual,Manual,First Owner,7,4,24.52,1248
110000,120000,Petrol,Individual,Manual,Used,5,12,14.2,1341
320000,100000,Petrol,Individual,Manual,Used,5,8,18.5,1197
75000,110000,Diesel,Individual,Manual,Used,5,15,19.33,1248
350000,100000,Petrol,Individual,Manual,First Owner,5,5,20.4,1197
170000,162500,Diesel,Individual,Manual,First Owner,5,7,19.4,1405
800000,39000,Diesel,Individual,Manual,First Owner,5,3,22.54,1396
500000,75000,Diesel,Individual,Manual,First Owner,5,3,26.8,1248
1380000,50000,Diesel,Individual,Automatic,First Owner,7,3,17.6,2179
1300000,40000,Diesel,Individual,Manual,First Owner,8,1,17.3,1497
530000,92500,Diesel,Individual,Manual,First Owner,5,7,22.32,1582
360000,158000,Diesel,Individual,Manual,First Owner,5,8,23.4,1248
310000,120000,Diesel,Individual,Manual,First Owner,5,8,19.3,1248
725000,50000,Diesel,Individual,Manual,Used,5,5,26.0,1498
340000,110000,Diesel,Individual,Manual,First Owner,5,8,19.3,1248
550000,2000,Diesel,Individual,Manual,Used,5,3,25.4,1186
1150000,181000,Diesel,Individual,Manual,Used,7,9,11.5,2982
380000,70000,Diesel,Individual,Manual,First Owner,5,4,27.28,1047
350000,90000,Petrol,Individual,Automatic,Used,5,7,17.97,1498
610000,2000,Petrol,Individual,Manual,First Owner,5,1,18.6,1197
525000,20000,Petrol,Individual,Manual,First Owner,5,5,20.85,1197
480000,120000,Diesel,Individual,Manual,First Owner,7,9,12.8,2494
780000,35000,Diesel,Individual,Manual,First Owner,6,3,16.55,2498
320000,193000,Diesel,Individual,Manual,First Owner,5,8,19.3,1248
375000,80000,Petrol,Individual,Manual,First Owner,5,6,20.4,1197
300000,40000,Petrol,Individual,Manual,First Owner,5,1,19.02,1198
500000,70000,Diesel,Individual,Manual,Used,5,5,22.54,1396
404000,122358,Diesel,Individual,Manual,First Owner,9,9,12.05,2179
500000,75000,Diesel,Individual,Manual,First Owner,7,5,14.07,2956
350000,120000,Diesel,Individual,Manual,First Owner,5,3,27.28,1047
380000,40000,Petrol,Individual,Manual,First Owner,5,5,17.57,1193
114999,95200,Petrol,Individual,Manual,Used,5,12,13.2,1495
335000,33033,Petrol,Dealer,Manual,First Owner,5,6,19.4,1198
465000,63063,Petrol,Dealer,Automatic,First Owner,5,5,18.9,1197
290000,60000,Diesel,Individual,Manual,First Owner,5,8,21.02,1248
110000,45000,Petrol,Individual,Manual,Used,5,15,19.7,796
450000,80000,Diesel,Individual,Manual,Used,7,9,11.57,2179
400000,170000,Diesel,Individual,Manual,Used,7,11,13.6,2523
210000,207890,Diesel,Individual,Manual,Used,7,13,13.6,2523
4600000,7976,Diesel,Individual,Automatic,First Owner,5,2,17.9,2143
220000,35000,Petrol,Individual,Manual,First Owner,8,4,16.8,796
450000,35000,Petrol,Individual,Manual,First Owner,5,3,18.9,1197
450000,35000,Petrol,Individual,Manual,First Owner,5,3,18.9,1197
290000,50000,Petrol,Individual,Automatic,First Owner,5,7,16.95,1197
520000,20000,Petrol,Individual,Manual,First Owner,5,4,20.4,1197
265000,20000,Petrol,Individual,Automatic,First Owner,5,9,16.95,1197
330000,50000,Petrol,Individual,Manual,Used,5,8,18.6,1197
330000,50000,Petrol,Individual,Manual,Used,5,8,18.6,1197
509999,120000,Diesel,Individual,Manual,First Owner,7,6,15.96,2523
500000,70000,Petrol,Individual,Manual,First Owner,5,6,17.1,1591
525000,50000,Petrol,Individual,Manual,First Owner,5,5,17.19,1197
675000,16500,Petrol,Individual,Manual,First Owner,5,1,21.01,1197
300000,70000,Petrol,Individual,Manual,First Owner,5,10,17.0,1197
90000,99361,Petrol,Individual,Manual,Used,5,15,19.7,796
650000,25000,Diesel,Individual,Manual,First Owner,5,3,26.59,1248
409000,70000,Petrol,Individual,Manual,Used,5,6,19.1,1197
395000,80000,Diesel,Individual,Manual,Used,5,5,24.0,1120
215000,70000,Petrol,Individual,Manual,Used,5,10,19.33,1248
400000,70000,Petrol,Individual,Manual,Used,5,6,19.1,1197
120000,60000,Petrol,Individual,Manual,Used,5,8,18.6,1199
645000,10000,Petrol,Individual,Automatic,First Owner,5,2,20.3,1199
81000,80000,Petrol,Individual,Manual,First Owner,4,14,16.1,796
1300000,30000,Diesel,Individual,Manual,First Owner,5,3,25.6,1498
1250000,33000,Diesel,Individual,Manual,First Owner,5,3,25.6,1498
535000,90000,Petrol,Individual,Manual,Used,7,7,16.02,1373
555000,80100,Diesel,Individual,Manual,Used,5,6,19.01,1461
725000,120000,Petrol,Individual,Manual,First Owner,5,6,17.4,1497
300000,10000,Diesel,Individual,Manual,Used,5,37,19.33,1248
229999,40000,Petrol,Individual,Manual,First Owner,5,4,25.17,799
800000,160000,Diesel,Individual,Manual,Used,8,7,12.99,2494
409999,47000,Petrol,Individual,Manual,First Owner,5,3,20.51,998
1210000,25000,Diesel,Individual,Manual,First Owner,5,2,21.38,1396
400000,26000,Petrol,Individual,Manual,First Owner,5,3,23.84,1199
520000,29000,Diesel,Individual,Manual,First Owner,5,2,24.0,1186
650000,50000,Petrol,Individual,Automatic,First Owner,5,4,21.4,1197
325000,58000,Petrol,Individual,Manual,Used,5,9,16.1,1298
420000,120000,Petrol,Individual,Automatic,First Owner,5,8,17.4,1197
400000,50000,Petrol,Individual,Manual,First Owner,5,6,20.4,1197
254999,80000,Petrol,Individual,Manual,Used,5,10,17.0,1197
65000,60000,Petrol,Individual,Manual,Used,5,17,17.3,993
351000,36000,Petrol,Individual,Manual,First Owner,5,3,23.1,998
404000,120000,Diesel,Individual,Manual,Used,8,13,12.8,2494
185000,185000,Diesel,Individual,Manual,Used,5,9,21.1,1248
250000,50000,Diesel,Individual,Manual,First Owner,5,9,23.08,1461
60000,100000,Petrol,Individual,Manual,Used,5,18,17.3,993
500000,50000,Petrol,Individual,Manual,Used,5,7,17.1,1591
85000,80000,Petrol,Individual,Manual,Used,5,13,18.2,998
85000,60000,Petrol,Individual,Manual,Used,5,15,19.33,1248
85000,80000,Petrol,Individual,Manual,Used,5,15,19.7,796
265000,90000,Diesel,Individual,Manual,Used,5,9,19.3,1248
130000,162000,Petrol,Individual,Manual,Used,5,10,19.0,998
480000,110000,Diesel,Individual,Manual,Used,7,7,20.77,1248
170000,120000,Diesel,Individual,Manual,Used,5,12,17.8,1248
275000,45000,Diesel,Individual,Manual,First Owner,5,9,23.08,1461
89000,90000,Petrol,Individual,Manual,Used,5,15,18.9,998
170000,90000,Diesel,Individual,Manual,Used,5,10,20.0,1399
1090000,16500,Petrol,Dealer,Manual,First Owner,5,1,17.0,1197
1100000,67000,Diesel,Individual,Automatic,First Owner,5,3,17.01,1582
610000,52000,Petrol,Dealer,Manual,First Owner,5,2,22.0,1197
335000,40000,Petrol,Dealer,Manual,First Owner,5,4,20.63,1198
434999,40000,Petrol,Dealer,Manual,First Owner,5,5,18.9,1197
3000000,35000,Diesel,Individual,Manual,First Owner,7,2,14.24,2755
390000,13000,Petrol,Dealer,Manual,First Owner,5,2,20.71,799
325000,40000,Petrol,Dealer,Manual,First Owner,5,8,18.5,1198
640000,10000,Petrol,Dealer,Manual,First Owner,5,1,17.0,1198
450000,9000,Petrol,Dealer,Manual,First Owner,5,8,16.95,1498
400000,70000,Diesel,Dealer,Manual,Used,5,7,23.59,1364
215000,60000,Petrol,Dealer,Manual,First Owner,5,11,20.36,1197
570000,40000,Diesel,Dealer,Manual,First Owner,5,6,20.45,1461
680000,93000,Diesel,Dealer,Manual,First Owner,7,8,15.1,2179
325000,80000,Diesel,Individual,Manual,Used,7,12,12.8,2494
150000,50000,Petrol,Individual,Manual,Used,5,9,15.64,1193
690000,68000,Petrol,Dealer,Automatic,First Owner,5,7,14.5,1797
1550000,25000,Diesel,Individual,Automatic,First Owner,5,7,14.84,2143
64000,18000,Petrol,Dealer,Manual,First Owner,4,8,25.4,624
250000,120000,Diesel,Individual,Manual,First Owner,5,7,23.08,1461
65000,35000,Petrol,Individual,Manual,First Owner,5,15,18.9,998
550000,60000,Diesel,Individual,Manual,Used,5,4,26.59,1248
140000,70000,Petrol,Individual,Manual,Used,5,10,20.36,1197
300000,30000,Petrol,Individual,Manual,First Owner,5,4,25.17,799
800000,70000,Petrol,Individual,Automatic,First Owner,5,4,16.34,1798
2625000,9000,Diesel,Dealer,Automatic,First Owner,5,3,13.6,1999
5150000,20000,Petrol,Dealer,Automatic,First Owner,5,1,22.37,2487
3200000,45000,Diesel,Dealer,Automatic,First Owner,5,3,19.33,1999
503000,110000,Diesel,Individual,Manual,First Owner,7,5,14.1,2179
3800000,20000,Diesel,Individual,Automatic,First Owner,5,1,18.0,1969
2000000,68089,Petrol,Dealer,Automatic,First Owner,5,4,19.16,2494
225000,58343,Petrol,Dealer,Manual,First Owner,5,7,21.79,998
740000,38817,Diesel,Dealer,Manual,First Owner,5,2,27.39,1248
550000,56494,Petrol,Dealer,Manual,First Owner,5,4,18.2,1199
750000,79328,Diesel,Dealer,Manual,Used,7,7,12.99,2494
650000,5621,Petrol,Dealer,Automatic,First Owner,5,1,22.0,1197
625000,25538,Petrol,Dealer,Manual,First Owner,5,3,16.78,1496
600000,69779,Petrol,Dealer,Automatic,First Owner,5,2,22.0,1197
450000,56290,Diesel,Dealer,Manual,First Owner,5,3,24.0,1186
5400000,7500,Diesel,Dealer,Automatic,First Owner,5,1,16.78,1995
5500000,8500,Diesel,Dealer,Automatic,First Owner,5,1,16.78,1995
779000,7032,Petrol,Dealer,Automatic,First Owner,5,1,19.0,1199
645000,11000,Petrol,Dealer,Automatic,First Owner,5,4,14.3,1598
2475000,2000,Diesel,Dealer,Automatic,First Owner,5,2,16.8,1984
150000,106000,Petrol,Individual,Manual,Used,5,10,20.36,1197
265000,162000,Diesel,Individual,Manual,Used,5,8,19.33,1248
500000,120000,Petrol,Individual,Automatic,Used,5,11,11.1,2354
480000,90000,Diesel,Individual,Manual,First Owner,5,5,26.59,1248
535000,70000,Diesel,Individual,Manual,Used,5,6,22.32,1582
250000,240000,Diesel,Individual,Manual,Used,8,15,12.8,2494
300000,100000,Diesel,Individual,Manual,Used,5,8,21.5,1248
340000,214000,Petrol,Individual,Manual,Used,5,11,13.9,1599
340000,214000,Diesel,Individual,Manual,Used,5,11,16.8,1493
